ville;city_uuid;membres_non_desservis;type
"ATTIENKAHA";16e398b4-38c4-41d8-80d1-621f12c981a3;12;ville_sans_zone
"BROUDOUME";c3329c62-fbe0-4f72-ba8f-cb75446c6442;12;ville_sans_zone
"GOGOGUHÉ";70a55a57-f698-46af-939b-e96610172011;12;ville_sans_zone
"Kouassi Kouassikro";604ca78e-20b9-4b76-8fec-e790fe56b308;12;ville_sans_zone
"GOUETIMBA";57bb775f-cd22-4ee4-a0f7-d6ea4570dc0c;12;ville_sans_zone
"SIKABOUTOU";f0c0bc15-899d-471a-8f65-9131e825ba2e;11;ville_sans_zone
"JEAN-FOLLY";8ee5d68c-31e4-4491-8e05-a9de3c1f1480;11;ville_sans_zone
"Boundiali";f8f2de8b-a3de-4dd5-912c-431c4f2ed764;11;ville_sans_zone
"Kouétinfla";85a8af46-70f5-414f-bec3-17c2e54043d5;11;ville_sans_zone
"Brobo";538a15fa-7d40-427f-ab12-6db1bdd92ca0;11;ville_sans_zone
"Ananguié (Adzopé)";b7fe6197-0fc6-486f-b4f4-72c1ddce243d;11;ville_sans_zone
"PISSEKOU";209f4efe-b18d-4c2c-b536-737e2f19b8c0;10;ville_sans_zone
"Assié-Koumassi";90de5f80-c7a2-4a95-a999-ed0c21e6e895;10;ville_sans_zone
"BEAGO";6d9d99e5-254f-495c-a5d0-d4709592825f;10;ville_sans_zone
"Zéménafla-V";c3b42db9-caa8-409e-8be7-245eaed94da1;10;ville_sans_zone
"Banguié 2";86d46c59-ba29-404b-8fe5-b7fa07781be5;10;ville_sans_zone
"Sakassou";ac2bdb36-292f-4fd9-a4ab-d2926d6159ea;10;ville_sans_zone
"Huafla";999ea8ad-302e-4766-aabe-ec04d31adb85;10;ville_sans_zone
"Bayota";d7df6978-8bae-4c0b-893c-16022e757fb0;10;ville_sans_zone
"KOFFISSIOKAHA";277c60ea-bbbc-404b-a427-424ab6969b88;10;ville_sans_zone
"DEUX PLATEAUX";1a5c1950-4ab4-4dc3-bf05-32ca84360a72;9;ville_sans_zone
"Yaou";b268a3cb-692b-4844-8ff8-d26214161c67;8;ville_sans_zone
"Méagui";d3821a51-f19f-4185-a676-b7cdf35de5ca;8;ville_sans_zone
"Gabiadji";89d16128-076d-4ffc-ab6e-f24593059030;8;ville_sans_zone
"PAMBARIBA";e8c57dde-e4fb-4339-99b8-a913949f876c;8;ville_sans_zone
"Dignago";e8267deb-6650-49f0-b260-48ccd7ba74df;8;ville_sans_zone
"KOTOBI";7758ebd7-7b46-464c-b692-f073fc28608c;8;ville_sans_zone
"Borotou-Koro";81afb32c-0c43-4a9a-a546-8b478546dd26;8;ville_sans_zone
"Bonon";5be57f79-5a7b-4d97-8c6d-3a29b1524b2e;8;ville_sans_zone
"Ouangolodougou";03879f64-8967-488b-96ba-1f88cddb1002;7;ville_sans_zone
"ANGUEDEDOU";b44492ab-cb67-49ae-906f-d458459f0693;7;ville_sans_zone
"KOSSIHOUEN";b0271844-5b7f-49c0-9f59-084653265021;7;ville_sans_zone
"Sassandra";ffe62352-dbf3-4ceb-aa6c-0872577a3c6d;7;ville_sans_zone
"S/P YOPOHUE";06145ace-56a5-4d4f-9b6c-09703fb3bcbd;7;ville_sans_zone
"Assèkro";d87cc554-09b9-4220-9b5c-4c114a93e003;7;ville_sans_zone
"Locodjro / Cité ADDOHA";9abce7c1-751c-4e30-a7e3-ee95ab5adf2e;7;ville_sans_zone
"Zaguiéta";fb4245d3-79b3-45fc-bbda-98384cc1e682;7;ville_sans_zone
"BECEDI";96c2dc9f-bcd6-4ce3-a9b4-b694fe8126ee;7;ville_sans_zone
"GAZAHIO";2b9b1b55-a88d-47e2-9d9d-6002bd934fe4;7;ville_sans_zone
"TIAPOUM";02258b4a-688e-4ea4-9868-b5fdaa41b540;7;ville_sans_zone
"Odienné";d5d9485c-1034-4dee-9705-a1eeb0cadcae;7;ville_sans_zone
"Zoukougbeu";3cad7f0b-711f-4e88-b8f0-06fd43d6e2a5;7;ville_sans_zone
"Gnagbodougnoa";679e44dd-e46e-4e7e-9198-4cbfa3ad2bf2;7;ville_sans_zone
"BEINLEU";2b7bdb78-f635-4f98-b930-d8158f283e37;7;ville_sans_zone
"DJIBROSSO";48b4a701-e93a-4338-98c8-e71e9d8a79cb;6;ville_sans_zone
"GUEPAHOUO";8048db7e-34d2-41fd-a3e5-7d593cfaed7e;6;ville_sans_zone
"BOBOUA";79b9fa93-03ea-4651-a145-e7103ae4bf42;6;ville_sans_zone
"Biankouman";eaa8eb56-3f01-4dab-97a5-11112ad85126;6;ville_sans_zone
"CHANTIER LIADE";44d962eb-f127-456e-9f49-efb7553f0bf1;6;ville_sans_zone
"Soungassou";0f9f0cf0-77c1-4b96-8c4d-33406fa06807;6;ville_sans_zone
"MILLIONNAIRE";3af5709a-c179-4448-9a28-eafe9af1f053;6;ville_sans_zone
"Lolobo (Yamoussoukro)";c817ab5f-f95e-4578-92a1-821062763d04;6;ville_sans_zone
"DJIMPREDOUO";2da1dd46-100a-4a4b-ac76-ea40d9fa1e75;6;ville_sans_zone
"Tiébissou";6cf69f27-e9bd-4837-ac46-39d2a15cc8de;6;ville_sans_zone
"BROZAN";81ccd8f3-00b2-498d-ba42-2d3280dc60e0;6;ville_sans_zone
"AKOUEDO ATTIE";14b9a90f-70a1-4e5b-a100-53561c30efac;6;ville_sans_zone
"BOLIA";e60d4aec-2bd4-4bf8-9768-73aad8b0eb36;6;ville_sans_zone
"CNRA BIMBRESSO";d31ea79f-46ff-458d-82da-bd85c9c4708d;6;ville_sans_zone
"BOUGROU BOBOLOUA";ebc93348-90bd-4bad-a717-434f4983c9eb;5;ville_sans_zone
"Abobodoumé";d928bf60-124d-4d66-a8b4-edc6588c1474;5;ville_sans_zone
"MONDOUKOU";4cda10aa-344c-43d7-8ec3-b5be3feedbfa;5;ville_sans_zone
"Mankono";5241c369-ca5f-4222-a1a9-1ae91b1c58b2;5;ville_sans_zone
"CARREFOUR BIMBRESSO";472d0814-df83-46e6-a486-7953e04ecad5;5;ville_sans_zone
"DJIMPOUNINDOUO";f5470a02-6d21-4b0a-878a-9ed9469c331a;5;ville_sans_zone
"Béoumi";78c57238-9261-4b33-825d-9b2e1c458879;5;ville_sans_zone
"Frondobo";0e586d73-8dae-4323-8800-9999da43cb0d;5;ville_sans_zone
"Booda";0d7a63c3-9180-47cf-bd34-a7419b47a5e1;5;ville_sans_zone
"BONGOUANOU";d2899138-79db-4108-a850-9bf0e7320d22;5;ville_sans_zone
